okres,year,total_voters,total_populist,business_total,private,private_foreign,private_foreign_intl,pop_density,age_dep_ratio,pop_tot,foreign_prop,uni_prop,relig,prop_agro,prop_manuf,prop_prof,tot_land,agro_land,agro_prop_land,foreign_biz_prop,turnout,total_pop,slovak,hungarian,ukrainian,czech,german,polish,austrian
Bardejov,2002,36938,0.4419567924630462,573,572,26,27,81.21,32.03,76166,0.08979072026888635,0.14917003140421714,0.9718465431099809,0.07726635216116282,0.14407752135662374,0.07446130307280377,936466535,454698864,0.48554737089457234,0.04537521815008726,0.48496704566341936,76166,69327,54,987,227,2,84,1
Bardejov,2010,31840,0.5199120603015075,1464,1460,107,59,82.45,25.72,77287,0.1114935241373064,0.14917003140421714,0.9718465431099809,0.07726635216116282,0.14407752135662374,0.07446130307280377,936170185,452139448,0.4829671519607303,0.07308743169398907,0.41197096536286826,77287,68670,54,954,265,6,109,2
Bardejov,2012,33622,0.6540063053952769,1684,1679,127,50,83.19,25.04,77841,0.1519764648450046,0.14917003140421714,0.9718465431099809,0.07726635216116282,0.14407752135662374,0.07446130307280377,936070288,447536962,0.47810187732398146,0.07541567695961995,0.4319317583278735,77841,66011,42,461,184,15,89,1
Bardejov,2016,33837,0.37955492508201083,2107,2098,120,46,83.09,24.71,77742,0.14386046152658793,0.14917003140421714,0.9718465431099809,0.07726635216116282,0.14407752135662374,0.07446130307280377,935988144,445557980,0.4760295126131427,0.05695301376364499,0.4352473566411978,77742,66558,49,497,236,19,146,1
Bratislava I,2002,30501,0.2889741319956723,4501,4464,862,430,4605.78,16.95,43977,0.1017349978397799,0.4806383528600965,0.7021860043978787,0.004684726148990729,0.03627786179235979,0.28828325333684,9590124,1791851,0.1868433609409013,0.19151299711175293,0.69356709188894194,43977,39503,1284,83,1078,243,30,14
Bratislava I,2010,25045,0.2423238171291675,12071,12048,3390,811,4253.75,16.94,41086,0.14683833909360855,0.4806383528600965,0.7021860043978787,0.004684726148990729,0.03627786179235979,0.28828325333684,9590124,1703404,0.177620643904083,0.28083837295998676,0.609575037725746,41086,35053,1265,76,1196,483,91,122
Bratislava I,2012,24479,0.3603088361452674,13864,13841,3977,831,4048.7,19.29,38867,0.10582242004785547,0.4806383528600965,0.7021860043978787,0.004684726148990729,0.03627786179235979,0.28828325333684,9590124,1678902,0.1750657238634245,0.2868580496249279,0.6298144955875165,38867,34754,1178,45,649,192,43,20
Bratislava I,2016,26227,0.2635070728638426,16571,16554,4435,864,4140.87,23.47,39953,0.12664881235451653,0.4806383528600965,0.7021860043978787,0.004684726148990729,0.03627786179235979,0.28828325333684,9590124,1642851,0.17130654410725032,0.2676362319715165,0.6564463244312067,39953,34893,1266,83,712,322,92,89
Bratislava II,2002,66134,0.3563522545135634,4840,4795,831,425,1167.23,19.77,107991,0.10754599920363739,0.3428532571739426,0.7087539912515457,0.004748133120386757,0.053438080027625505,0.24081667889670652,92490067,40874907,0.4419383434980104,0.17169421487603306,0.6124028854256374,107991,96377,6373,91,2029,332,74,11
Bratislava II,2010,61750,0.30926315789473685,13652,13620,2657,763,1225.62,18.21,113764,0.11802503428149502,0.3428532571739426,0.7087539912515457,0.004748133120386757,0.053438080027625505,0.24081667889670652,92490067,37756103,0.4082179224716098,0.1946234983885145,0.5427903378924792,113764,100337,6351,179,2255,495,205,132
Bratislava II,2012,61560,0.4351364522417154,16201,16166,3309,779,1185.5,20.04,110158,0.11074093574683641,0.3428532571739426,0.7087539912515457,0.004748133120386757,0.053438080027625505,0.24081667889670652,92490067,37542619,0.4059097394750509,0.20424665144126905,0.5588336752664355,110158,97959,5402,141,1404,265,103,21
Bratislava II,2016,66934,0.30005677234290495,18243,18211,3485,720,1228.74,23.12,114092,0.11525786207621924,0.3428532571739426,0.7087539912515457,0.004748133120386757,0.053438080027625505,0.24081667889670652,92490067,36024328,0.3894940199362165,0.1910321767253193,0.5866669003961715,114092,100942,5533,256,1543,387,242,127
Bratislava III,2002,39825,0.37928436911487756,2829,2811,498,276,824.53,18.67,61606,0.07346687011005426,0.3767439434636347,0.7023719817842282,0.005051092851656154,0.05993808337794744,0.22648448592909848,74675032,18739650,0.2509493400685787,0.176033934252386,0.6464467746648054,61606,57080,1512,66,1250,153,44,10
Bratislava III,2010,36097,0.32828212870875695,7441,7421,1579,475,851.04,17.9,63866,0.09621707951022451,0.3767439434636347,0.7023719817842282,0.005051092851656154,0.05993808337794744,0.22648448592909848,74674875,17776479,0.23805167400681956,0.21220266093267035,0.5651990104280838,63866,57721,1637,123,1412,278,115,84
Bratislava III,2012,35752,0.4636104273886776,8717,8700,1899,470,827.08,20.4,62054,0.0939020852805621,0.3767439434636347,0.7023719817842282,0.005051092851656154,0.05993808337794744,0.22648448592909848,74674875,17629426,0.23608243067028903,0.21785017781346794,0.5761433590098947,62054,56227,1558,96,884,155,80,14
Bratislava III,2016,39018,0.2981700753498385,11305,11290,2366,491,864.35,24.18,65093,0.10259167652435741,0.3767439434636347,0.7023719817842282,0.005051092851656154,0.05993808337794744,0.22648448592909848,74674875,17360418,0.23248004097763805,0.20928792569659443,0.599419292397032,65093,58415,1695,172,973,236,145,69
Bratislava IV,2002,55082,0.35641407356305144,1917,1901,176,176,962.66,22.77,93116,0.07140555865801801,0.37834984879319855,0.6851244159513202,0.005029776275551264,0.054603251247384514,0.25148881377756316,96625626,36949841,0.3824020865851881,0.09181011997913406,0.5915417328923064,93116,86467,2266,108,1809,218,86,10
