comm_id,...1,area,year,comm_name,bundesland,dist_id,dist_name,Sex,in_bnds,in_gmnd,in_bzrk,in_NA,out_bnds,out_gmnd,out_bzrk,out_NA,fpo,period,elect_year,primary,secondary,tertiary,emp,unemp,inact,ruemp,pop_tot,pop_foreign
10301,3,25.7272750653981,2021,Breitenbrunn am Neusiedler See,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,137300,7400,108700,0.05114029025570145,NA,22
10302,4,33.9192253883026,2012,Donnerskirchen,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,134600,6500,103200,0.04606661941885188,1743,18
10302,4,33.9192253883026,2013,Donnerskirchen,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,134000,6000,105400,0.04285714285714286,1732,18
10302,4,33.9192253883026,2014,Donnerskirchen,Burgenland,103,NA,male,0,1,0,NA,0,0,0,NA,NA,NA,NA,,,,133700,6800,105900,0.048398576512455514,1733,19
10302,4,33.9192253883026,2015,Donnerskirchen,Burgenland,103,NA,male,0,0,0,NA,0,0,1,NA,0.121718377,2,1,,,,133200,7400,106900,0.05263157894736842,1739,19
10302,4,33.9192253883026,2016,Donnerskirchen,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,133400,8100,107300,0.05724381625441696,1746,18
10302,4,33.9192253883026,2017,Donnerskirchen,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,135500,7500,106200,0.05244755244755245,1800,21
10302,4,33.9192253883026,2018,Donnerskirchen,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,136500,S,107400,NA,1810,21
10302,4,33.9192253883026,2019,Donnerskirchen,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,136600,S,108900,NA,1822,21
10302,4,33.9192253883026,2020,Donnerskirchen,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,0.082864039,3,1,,,,136600,6000,109100,0.04207573632538569,NA,25
10302,4,33.9192253883026,2021,Donnerskirchen,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,137300,7400,108700,0.05114029025570145,NA,24
10303,5,14.2494206754997,2012,Grosshoeflein,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,134600,6500,103200,0.04606661941885188,1939,10
10303,5,14.2494206754997,2013,Gsssshoeflein,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,134000,6000,105400,0.04285714285714286,NA,11
10303,5,14.2494206754997,2014,Grosshoeflein,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,133700,6800,105900,0.048398576512455514,2032,12
10303,5,14.2494206754997,2015,Grosshoeflein,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,0.081521739,2,1,,,,133200,7400,106900,0.05263157894736842,2048,12
10303,5,14.2494206754997,2016,Grosshoeflein,Burgenland,103,NA,male,0,1,0,NA,0,0,0,NA,NA,NA,NA,,,,133400,8100,107300,0.05724381625441696,2067,13
10303,5,14.2494206754997,2017,Grosshoeflein,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,135500,7500,106200,0.05244755244755245,2082,20
10303,5,14.2494206754997,2018,Grosshoeflein,Burgenland,103,NA,male,0,0,0,NA,0,1,0,NA,NA,NA,NA,,,,136500,S,107400,NA,2048,12
10303,5,14.2494206754997,2019,Grosshoeflein,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,136600,S,108900,NA,2080,13
10303,5,14.2494206754997,2020,Grosshoeflein,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,0.091633466,3,1,,,,136600,6000,109100,0.04207573632538569,NA,10
10303,5,14.2494206754997,2021,Grosshoeflein,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,137300,7400,108700,0.05114029025570145,NA,9
10304,6,37.0361622819942,2012,Hornstein,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,134600,6500,103200,0.04606661941885188,2765,127
10304,6,37.0361622819942,2013,Hornstein,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,134000,6000,105400,0.04285714285714286,2788,119
10304,6,37.0361622819942,2014,Hornstein,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,133700,6800,105900,0.048398576512455514,2801,114
10304,6,37.0361622819942,2015,Hornstein,Burgenland,103,NA,male,1,0,0,NA,0,0,0,NA,0.11977542100000001,2,1,,,,133200,7400,106900,0.05263157894736842,2859,126
10304,6,37.0361622819942,2016,Hornstein,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,133400,8100,107300,0.05724381625441696,2914,128
10304,6,37.0361622819942,2017,Hornstein,Burgenland,103,NA,male,0,0,0,NA,3,0,0,NA,NA,NA,NA,,,,135500,7500,106200,0.05244755244755245,2964,119
10304,6,37.0361622819942,2018,Hornstein,Burgenland,103,NA,male,0,0,0,NA,0,0,1,NA,NA,NA,NA,,,,136500,S,107400,NA,3012,114
10304,6,37.0361622819942,2019,Hornstein,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,136600,S,108900,NA,3091,111
10304,6,37.0361622819942,2020,Hornstein,Burgenland,103,NA,male,0,0,1,NA,0,0,0,NA,0.093196112,3,1,,,,136600,6000,109100,0.04207573632538569,NA,117
10304,6,37.0361622819942,2021,Hornstein,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,137300,7400,108700,0.05114029025570145,NA,126
10305,7,4.81970566985077,2012,Klingenbach,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,134600,6500,103200,0.04606661941885188,1166,43
10305,7,4.81970566985077,2013,Klingenbach,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,134000,6000,105400,0.04285714285714286,1172,38
10305,7,4.81970566985077,2014,Klingenbach,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,133700,6800,105900,0.048398576512455514,1180,44
10305,7,4.81970566985077,2015,Klingenbach,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,0.109643329,2,1,,,,133200,7400,106900,0.05263157894736842,1177,41
10305,7,4.81970566985077,2016,Klingenbach,Burgenland,103,NA,male,3,0,0,NA,7,0,7,NA,NA,NA,NA,,,,133400,8100,107300,0.05724381625441696,1246,99
10305,7,4.81970566985077,2017,Klingenbach,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,135500,7500,106200,0.05244755244755245,1223,67
10305,7,4.81970566985077,2018,Klingenbach,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,136500,S,107400,NA,1172,55
10305,7,4.81970566985077,2019,Klingenbach,Burgenland,103,NA,male,0,0,0,NA,0,0,0,NA,NA,NA,NA,,,,136600,S,108900,NA,1153,37
10305,7,4.81970566985077,2020,Klingenbach,Burgenland,103,NA,male,5,0,0,NA,0,0,0,NA,0.06957708,3,1,,,,136600,6000,109100,0.04207573632538569,NA,35
