region;year;tot_indust
BG312;2010;2352
BG312;2012;709
BG312;2018;1920
BG313;2008;2814
BG313;2010;1035
BG313;2012;2334
BG313;2018;4289
BG314;2008;8449
BG314;2010;3189
BG314;2012;3402
BG314;2018;2396
BG315;2008;2329
BG315;2010;1964
BG315;2012;2313
BG315;2018;578
BG321;2008;3658
BG321;2010;3375
BG321;2012;2946
BG321;2018;3271
BG322;2008;2050
BG322;2010;668
BG322;2012;1409
BG322;2018;3406
BG323;2008;3415
BG323;2010;4336
BG323;2012;2973
BG323;2018;3116
BG324;2008;2324
BG324;2010;1488
BG324;2012;2158
BG324;2018;2067
BG325;2008;3063
BG325;2010;1686
BG325;2012;1578
BG325;2018;1055
BG331;2008;18583
BG331;2010;12009
BG331;2012;10507
BG331;2018;16364
BG332;2008;2813
BG332;2010;2269
BG332;2012;2818
BG332;2018;2541
BG333;2008;3996
BG333;2010;2749
BG333;2012;4554
BG333;2018;4480
BG334;2008;3835
BG334;2010;2117
BG334;2012;3058
BG334;2018;2580
BG341;2008;14817
BG341;2010;9218
BG341;2012;8001
BG341;2018;11553
BG342;2008;2539
BG342;2010;2024
BG342;2012;3526
BG342;2018;1769
BG343;2008;2474
BG343;2010;1243
BG343;2012;5841
BG343;2018;1135
BG344;2008;9926
BG344;2010;6605
BG344;2012;9138
BG344;2018;6125
BG411;2008;22581
BG411;2010;17183
BG411;2012;11258
BG411;2018;8989
BG412;2008;8084
BG412;2010;10332
BG412;2012;10882
BG412;2018;7057
BG413;2008;9298
BG413;2010;4206
BG413;2012;5272
BG413;2018;6327
BG414;2008;2486
BG414;2010;4026
BG414;2012;2998
BG414;2018;1530
BG415;2008;5705
BG415;2010;1888
BG415;2012;1383
BG415;2018;1049
BG421;2008;10465
BG421;2010;8960
BG421;2012;8212
BG421;2018;15115
BG422;2008;6831
BG422;2010;3520
BG422;2012;5480
BG422;2018;4771
BG423;2008;3436
BG423;2010;4341
BG423;2012;2879
BG423;2018;3963
BG424;2008;2716
BG424;2010;1707
BG424;2012;1722
BG424;2018;1785
BG425;2008;6206
BG425;2010;2846
BG425;2012;4173
BG425;2018;1816
CH011;2008;19425
CH011;2010;16956
CH011;2012;20002
CH011;2018;24292
CH012;2008;11189
CH012;2010;10736
CH012;2012;12606
CH012;2018;13276
CH013;2008;8704
CH013;2010;7631
CH013;2012;9235
CH013;2018;5493
CH021;2008;33899
CH021;2010;34480
CH021;2012;36200
CH021;2018;33671
CH022;2008;13125
CH022;2010;11061
CH022;2012;12688
CH022;2018;16455
CH023;2008;9713
CH023;2010;8392
CH023;2012;11883
CH023;2018;10893
CH024;2008;2428
CH024;2010;1642
CH024;2012;4563
CH024;2018;4201
CH025;2008;2673
CH025;2010;2309
CH025;2012;3203
CH025;2018;2072
CH031;2008;3722
CH031;2010;4537
CH031;2012;4092
CH031;2018;3708
CH032;2008;9493
CH032;2010;9516
CH032;2012;9803
CH032;2018;13902
CH033;2008;23221
CH033;2010;22590
CH033;2012;23206
CH033;2018;21430
CH040;2008;46561
CH040;2010;42044
CH040;2012;37533
CH040;2018;39714
CH051;2008;2755
CH051;2010;2975
CH051;2012;2952
CH051;2018;921
CH052;2008;2139
CH052;2010;1866
CH052;2012;1682
CH052;2018;1856
CH053;2008;865
CH053;2010;1698
CH053;2012;1780
CH053;2018;713
CH054;2008;946
CH054;2010;437
CH054;2012;1031
CH054;2018;1172
CH055;2008;17635
CH055;2010;21263
CH055;2012;21317
CH055;2018;23713
CH056;2008;11238
CH056;2010;9806
CH056;2012;8882
CH056;2018;10762
CH057;2008;11591
CH057;2010;9619
CH057;2012;12276
CH057;2018;8440
CH061;2008;16417
CH061;2010;18370
CH061;2012;20673
CH061;2018;19450
CH062;2008;1896
CH062;2010;2787
CH062;2012;3753
CH062;2018;3150
CH063;2008;6932
CH063;2010;9137
CH063;2012;6195
CH063;2018;9930
CH064;2008;1155
CH064;2010;1566
CH064;2012;3907
CH064;2018;1315
CH065;2008;2323
CH065;2010;2058
CH065;2012;2473
CH065;2018;1602
CH066;2008;4273
CH066;2010;4973
CH066;2012;4009
CH066;2018;3116
CH070;2008;11089
CH070;2010;10828
CH070;2012;11553
CH070;2018;8162
CY000;2008;41601
CY000;2010;32216
CY000;2012;22941
CY000;2018;29280
CZ010;2008;32796
CZ010;2010;26377
CZ010;2012;17802
CZ010;2018;25854
CZ020;2008;57006
CZ020;2010;53786
CZ020;2012;49292
CZ020;2018;73564
CZ031;2008;21070
CZ031;2010;18750
CZ031;2012;21222
CZ031;2018;37021
CZ032;2008;26023
CZ032;2010;18778
CZ032;2012;18207
CZ032;2018;35343
CZ041;2008;12515
CZ041;2010;11541
CZ041;2012;8520
CZ041;2018;11781
CZ042;2008;35309
CZ042;2010;27179
CZ042;2012;29687
CZ042;2018;31440
CZ051;2008;13791
CZ051;2010;11155
CZ051;2012;8752
CZ051;2018;16068
CZ052;2008;18524
CZ052;2010;13200
CZ052;2012;14299
CZ052;2018;24903
CZ053;2008;18915
CZ053;2010;12911
CZ053;2012;12494
CZ053;2018;16323
CZ063;2008;20724
CZ063;2010;16185
CZ063;2012;11010
CZ063;2018;27949
CZ064;2008;39836
CZ064;2010;28307
CZ064;2012;26105
CZ064;2018;47715
CZ071;2008;23168
CZ071;2010;18055
CZ071;2012;22286
CZ071;2018;33948
CZ072;2008;13968
CZ072;2010;12048
CZ072;2012;10689
CZ072;2018;20880
CZ080;2008;48737
CZ080;2010;33118
CZ080;2012;30974
CZ080;2018;43896
DE111;2008;11533
DE111;2010;13382
DE111;2012;13336
DE111;2018;17388
DE112;2008;13188
DE112;2010;11134
DE112;2012;14691
DE112;2018;15480
DE113;2008;13808
DE113;2010;12980
DE113;2012;14453
DE113;2018;17200
DE114;2008;7930
DE114;2010;6648
DE114;2012;7162
DE114;2018;9713
DE115;2008;17058
DE115;2010;14154
DE115;2012;16664
DE115;2018;18972
DE116;2008;8280
DE116;2010;7280
DE116;2012;7613
DE116;2018;9584
DE117;2008;917
DE117;2010;5981
DE117;2012;5139
DE117;2018;7101
DE118;2008;19108
DE118;2010;14037
DE118;2012;14980
DE118;2018;16887
DE119;2008;5895
DE119;2010;4229
DE119;2012;5513
DE119;2018;5612
DE11A;2008;10127
DE11A;2010;10112
DE11A;2012;10397
DE11A;2018;12263
DE11B;2008;4887
DE11B;2010;4624
DE11B;2012;3489
DE11B;2018;5041
DE11C;2008;5878
DE11C;2010;4447
DE11C;2012;6017
DE11C;2018;6168
DE11D;2008;8161
DE11D;2010;8698
DE11D;2012;9010
DE11D;2018;12031
DE121;2008;1617
DE121;2010;1030
DE121;2012;1666
DE121;2018;631
DE122;2008;1679
DE122;2010;6328
DE122;2012;7235
DE122;2018;8168
DE123;2008;18828
DE123;2010;11296
DE123;2012;12085
DE123;2018;15075
DE124;2008;10523
DE124;2010;8982
DE124;2012;10508
DE124;2018;13873
DE125;2008;2586
DE125;2010;2095
DE125;2012;1887
DE125;2018;2413
DE126;2008;13630
DE126;2010;13109
DE126;2012;13679
DE126;2018;14400
DE127;2008;3952
DE127;2010;2869
DE127;2012;4096
DE127;2018;5461
DE128;2008;15987
DE128;2010;16082
DE128;2012;14241
DE128;2018;15338
DE129;2008;3035
DE129;2010;1695
DE129;2012;3067
DE129;2018;2999
DE12A;2008;2941
DE12A;2010;3623
DE12A;2012;3223
DE12A;2018;4533
DE12B;2008;6616
DE12B;2010;4720
DE12B;2012;6656
DE12B;2018;6594
DE12C;2008;4503
DE12C;2010;3149
DE12C;2012;3117
DE12C;2018;4950
DE131;2008;3357
DE131;2010;3487
DE131;2012;4531
DE131;2018;6231
DE132;2008;7577
DE132;2010;6811
