dist_id;year;freight_unload
AT332;2011;9101
AT332;2012;9083
AT332;2013;9200
AT332;2014;10248
AT332;2015;9497
AT332;2016;11330
AT332;2017;12990
AT332;2018;10210
AT332;2019;10403
AT332;2020;8197
AT332;2021;8209
AT333;2011;1271
AT333;2012;2303
AT333;2013;1811
AT333;2014;1937
AT333;2015;1408
AT333;2016;2753
AT333;2017;2988
AT333;2018;2441
AT333;2019;2983
AT333;2020;2362
AT333;2021;2326
AT334;2011;4379
AT334;2012;3638
AT334;2013;3924
AT334;2014;5178
AT334;2015;5378
AT334;2016;5533
AT334;2017;6944
AT334;2018;6342
AT334;2019;6213
AT334;2020;5661
AT334;2021;6195
AT335;2011;13402
AT335;2012;11576
AT335;2013;13257
AT335;2014;13377
AT335;2015;13249
AT335;2016;14499
AT335;2017;14986
AT335;2018;13884
AT335;2019;14773
AT335;2020;14018
AT335;2021;13499
AT341;2011;3846
AT341;2012;4411
AT341;2013;3567
AT341;2014;3527
AT341;2015;4925
AT341;2016;4314
AT341;2017;4408
AT341;2018;4683
AT341;2019;6211
AT341;2020;3943
AT341;2021;4595
AT342;2011;8939
AT342;2012;9237
AT342;2013;7275
AT342;2014;9658
AT342;2015;8701
AT342;2016;10251
AT342;2017;9834
AT342;2018;9518
AT342;2019;10663
AT342;2020;8677
AT342;2021;11066
