edu_level;age;nuts3;year;prop;;
Vocational_edu;Y20-24;BE;2015;30.8;;
Vocational_edu;Y20-24;BE;2016;31.3;;
Vocational_edu;Y20-24;BE;2017;28.7;;
Vocational_edu;Y20-24;BE;2018;28.4;;
Vocational_edu;Y20-24;BE;2019;29.0;;
Vocational_edu;Y20-24;BE;2020;25.4;;
Vocational_edu;Y20-24;BE;2021;26.4;;
Vocational_edu;Y20-24;BE;2022;26.8;;
Vocational_edu;Y20-24;BE1;2014;17.1;;
Vocational_edu;Y20-24;BE1;2015;18.4;;
Vocational_edu;Y20-24;BE1;2016;21.0;;
Vocational_edu;Y20-24;BE1;2017;19.6;;
Vocational_edu;Y20-24;BE1;2018;17.7;;
Vocational_edu;Y20-24;BE1;2019;17.4;;
Vocational_edu;Y20-24;BE1;2020;13.3;;
Vocational_edu;Y20-24;BE1;2021;14.4;;
Vocational_edu;Y20-24;BE1;2022;16.9;;
Vocational_edu;Y20-24;BE10;2014;17.1;;
Vocational_edu;Y20-24;BE10;2015;18.4;;
Vocational_edu;Y20-24;BE10;2016;21.0;;
Vocational_edu;Y20-24;BE10;2017;19.6;;
Vocational_edu;Y20-24;BE10;2018;17.7;;
Vocational_edu;Y20-24;BE10;2019;17.4;;
Vocational_edu;Y20-24;BE10;2020;13.3;;
Vocational_edu;Y20-24;BE10;2021;14.4;;
Vocational_edu;Y20-24;BE10;2022;16.9;;
Vocational_edu;Y20-24;BE2;2014;36.3;;
Vocational_edu;Y20-24;BE2;2015;35.8;;
Vocational_edu;Y20-24;BE2;2016;36.0;;
Vocational_edu;Y20-24;BE2;2017;33.4;;
Vocational_edu;Y20-24;BE2;2018;34.4;;
Vocational_edu;Y20-24;BE2;2019;35.5;;
Vocational_edu;Y20-24;BE2;2020;30.8;;
Vocational_edu;Y20-24;BE2;2021;30.6;;
Vocational_edu;Y20-24;BE2;2022;31.0;;
Vocational_edu;Y20-24;BE21;2014;37.7;;
Vocational_edu;Y20-24;BE21;2015;39.1;;
Vocational_edu;Y20-24;BE21;2016;39.3;;
Vocational_edu;Y20-24;BE21;2017;34.5;;
Vocational_edu;Y20-24;BE21;2018;37.2;;
Vocational_edu;Y20-24;BE21;2019;39.9;;
Vocational_edu;Y20-24;BE21;2020;28.7;;
Vocational_edu;Y20-24;BE21;2021;31.1;;
Vocational_edu;Y20-24;BE21;2022;27.4;;
Vocational_edu;Y20-24;BE22;2014;39.2;;
Vocational_edu;Y20-24;BE22;2015;40.6;;
Vocational_edu;Y20-24;BE22;2016;42.7;;
Vocational_edu;Y20-24;BE22;2017;42.1;;
Vocational_edu;Y20-24;BE22;2018;39.4;;
Vocational_edu;Y20-24;BE22;2019;37.0;;
Vocational_edu;Y20-24;BE22;2020;31.0;;
Vocational_edu;Y20-24;BE22;2021;30.0;;
Vocational_edu;Y20-24;BE22;2022;38.7;;
Vocational_edu;Y20-24;BE23;2014;37.4;;
Vocational_edu;Y20-24;BE23;2015;33.6;;
Vocational_edu;Y20-24;BE23;2016;36.7;;
Vocational_edu;Y20-24;BE23;2017;32.4;;
Vocational_edu;Y20-24;BE23;2018;33.7;;
Vocational_edu;Y20-24;BE23;2019;37.9;;
Vocational_edu;Y20-24;BE23;2020;35.5;;
Vocational_edu;Y20-24;BE23;2021;35.8;;
Vocational_edu;Y20-24;BE23;2022;34.9;;
Vocational_edu;Y20-24;BE24;2014;30.6;;
Vocational_edu;Y20-24;BE24;2015;29.1;;
Vocational_edu;Y20-24;BE24;2016;27.3;;
Vocational_edu;Y20-24;BE24;2017;26.1;;
Vocational_edu;Y20-24;BE24;2018;27.8;;
Vocational_edu;Y20-24;BE24;2019;29.4;;
Vocational_edu;Y20-24;BE24;2020;29.7;;
Vocational_edu;Y20-24;BE24;2021;24.3;;
Vocational_edu;Y20-24;BE24;2022;24.7;;
Vocational_edu;Y20-24;BE25;2014;36.3;;
Vocational_edu;Y20-24;BE25;2015;36.5;;
Vocational_edu;Y20-24;BE25;2016;33.6;;
Vocational_edu;Y20-24;BE25;2017;33.7;;
Vocational_edu;Y20-24;BE25;2018;33.8;;
Vocational_edu;Y20-24;BE25;2019;30.1;;
Vocational_edu;Y20-24;BE25;2020;29.0;;
Vocational_edu;Y20-24;BE25;2021;30.1;;
Vocational_edu;Y20-24;BE25;2022;32.4;;
Vocational_edu;Y20-24;BE3;2014;27.7;;
Vocational_edu;Y20-24;BE3;2015;26.5;;
Vocational_edu;Y20-24;BE3;2016;26.9;;
Vocational_edu;Y20-24;BE3;2017;23.8;;
Vocational_edu;Y20-24;BE3;2018;22.0;;
Vocational_edu;Y20-24;BE3;2019;22.1;;
Vocational_edu;Y20-24;BE3;2020;20.5;;
Vocational_edu;Y20-24;BE3;2021;23.4;;
Vocational_edu;Y20-24;BE3;2022;23.5;;
Vocational_edu;Y20-24;BE31;2014;23.5;;
Vocational_edu;Y20-24;BE31;2015;16.5;;
Vocational_edu;Y20-24;BE31;2016;22.0;;
Vocational_edu;Y20-24;BE31;2017;20.1;;
Vocational_edu;Y20-24;BE31;2018;16.7;;
Vocational_edu;Y20-24;BE31;2019;12.8;;
Vocational_edu;Y20-24;BE31;2020;13.2;;
Vocational_edu;Y20-24;BE31;2021;20.4;;
Vocational_edu;Y20-24;BE31;2022;22.5;;
Vocational_edu;Y20-24;BE32;2014;32.9;;
Vocational_edu;Y20-24;BE32;2015;28.3;;
Vocational_edu;Y20-24;BE32;2016;30.0;;
Vocational_edu;Y20-24;BE32;2017;27.7;;
Vocational_edu;Y20-24;BE32;2018;22.9;;
